Identifiant;Source;Date du document;Page PDF;Famille;Contexte;Motif original;Départs types originaux;Lien source
76-77-01;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;77;INCENDIE;SUSPICION FEU;ALARME INCENDIE SANS ODEUR/LUEUR/FUMEE;Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=77
76-77-02;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;77;INCENDIE;SUSPICION FEU;EXPLOSION DE BATIMENT;Départ type : EP_1+MEA+ESR+USAR_RECO+RCH_RECO +VSUAP+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=77
76-77-03;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;77;INCENDIE;SUSPICION FEU;FEU D’ORIGINE INDETERMINEE;Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=77
76-77-04;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;77;INCENDIE;FEU EN CONTEXTE SIMPLE;FEU DE VEHICULE (VL, PL, BUS,...);Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=77
76-77-05;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;77;INCENDIE;FEU EN CONTEXTE SIMPLE;FEU DE VEHICULE SUR VOIE DE CIRCULATION;Départ type : EP_1+EBS;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=77
76-77-06;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;77;INCENDIE;FEU EN CONTEXTE SIMPLE;FEU SUR VP;Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=77
76-77-07;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;77;INCENDIE;FEU EN CONTEXTE SIMPLE;FEU D’ESPACE NATUREL OU FEU DE VEGETATION;Départ type : EPHR + EPFEN_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=77
76-78-01;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DANS DES LOCAUX ADMINISTRATIFS / ARTISANAUX;Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-02;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DANS DES LOCAUX ADMINISTRATIFS / ARTISANAUX R+3 ET PLUS;Départ type : EP_1+MEA+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-03;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DANS UN ERP;Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-04;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DANS UN ERP AVEC PRESENCE DE PUBLIC;Départ type : EP_1+VSUAP+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-05;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DANS UN ERP R+3 ET PLUS;Départ type : EP_1+MEA+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-06;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DANS UN ERP R+3 ET PLUS AVEC PRESENCE DE PUBLIC;Départ type : EP_1+MEA+VSUAP+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-07;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DANS UN IMMEUBLE COLLECTIF;Départ type : EP_1+MEA+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-08;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DE CHEMINEE;Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-09;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU DE CHEMINEE R+3 ET PLUS;Départ type : EP_1+MEA;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-10;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU D’HABITATION INDIVIDUELLE;Départ type : EP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-78-11;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;78;INCENDIE;FEU EN CONTEXTE DOMESTIQUE;FEU D’HABITATION INDIVIDUELLE R+3 ET PLUS;Départ type : EP_1+MEA+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=78
76-79-01;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU D’AVION;Départ type : EP_1+EPHR+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-02;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE BATEAU PLAISANCE / NAVIRE;Départ type : EP_1+IBNB_UI+EP+SAV_INT+MOD+REP+CDG+ IBNB3;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-03;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE BATIMENTS/LOCAUX AGRICOLES;Départ type : EP_1+EP+MDA-MPR+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-04;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE CHATEAU;Départ type : EP_1+MEA+EP+MDA-MPR+EPES+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-05;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE LOCAUX INDUSTRIELS / ENTREPOTS;Départ type : EP_1+MEA+EP+MDA-MPR+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-06;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE SILO;Départ type : EP_1+MEA+EP+MDA-MPR+CDG+RCH3+ USAR3+ ELD_UI;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-07;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE TRAIN;Départ type : EP_1+EPHR+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-08;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE TRANSFORMATEUR;Départ type : EP_1+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-09;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DE TRANSPORT DE MATIERE DANGEREUSE;Départ type : EP_1+EBS+EPGP+EPEM+EPES+CEEM+RCH_INTER+RCH3+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-10;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU EN PARKING SOUTERRAIN;Départ type : EP_1+MEA+EP+ ELD_UNITE +CDG + RVGD;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-11;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU EN CARRIERE OU EN CAVITE SOUTERRAINE;Départ type : EP_1+EP+ELD_UNITE+CDG;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-12;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU DANS UN TUNNEL ROUTIER OU FERROVIAIRE;Départ type : EP_1+EP+ ELD_UNITE + RVGD + 2 VSAV + EBS + CDG + Groupe Commandment de colonne + Module d’appui SIC;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
76-79-13;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;79;INCENDIE;FEU EN CONTEXTE PARTICULIER;FEU EN CONTEXTE MENACANT;Départ type : EP + VSUAP + SSO + CDG + complément selon le contexte;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=79
